host,models
http://103.249.18.30:11434/v1,"smollm2:135m, llama3.2:latest"
http://121.6.50.203:9754/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://45.114.48.221:11434/v1,
http://54.226.219.28:11434/v1,
http://121.6.50.203:9743/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:2160/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:9734/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://112.92.91.34:8000/v1,"qwen2.5-coder:7b, llama3.1:8b, deepseek-r1:8b"
http://52.76.118.186:11434/v1,qwen2.5:latest
http://34.57.198.96:5000/v1,benevolentjoker/nsfwmonika:latest
http://121.6.50.203:9050/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:9710/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:9704/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://47.236.80.148:11434/v1,
http://116.177.238.110:5000/v1,deepseek-r1:32b
http://121.6.50.203:999/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:3307/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:27017/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
http://121.6.50.203:1022/v1,"mistral:latest, deepseek-r1:14b, bakllava:latest, llava:latest, codegemma:latest, codestral:latest, qwen2.5-coder:14b, llama3.2:latest, deepseek-r1:latest"
